Date,Open,High,Low,Close,Adj Close,Volume
1998-01-21,78.093750,78.375000,77.281250,77.843750,45.606712,1839600
1998-01-22,77.187500,77.859375,76.937500,77.187500,45.222221,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,45.112389,1693700
1998-01-26,77.375000,77.671875,76.937500,77.312500,45.295448,1172800
1998-01-27,77.125000,78.562500,77.078125,78.218750,45.826408,1454500
1998-01-28,78.375000,79.234375,78.218750,79.125000,46.357384,1181200
1998-01-29,79.062500,80.250000,78.890625,79.406250,46.522102,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234375,46.421410,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015625,47.465023,955600
1998-02-03,81.000000,81.671875,80.656250,81.656250,47.840328,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,47.584049,753200
1998-02-05,81.812500,81.906250,80.734375,81.234375,47.593147,1067600
1998-02-06,81.500000,82.171875,81.359375,82.109375,48.105793,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,47.913582,515900
1998-02-10,82.031250,83.343750,81.921875,83.156250,48.719173,892100
1998-02-11,82.968750,83.390625,82.843750,83.156250,48.719173,515000
1998-02-12,82.734375,84.109375,82.375000,83.687500,49.030388,1065000
1998-02-13,83.343750,83.843750,83.171875,83.640625,49.002934,596700
1998-02-17,84.312500,84.718750,83.890625,84.062500,49.250118,840600
1998-02-18,84.078125,84.703125,83.843750,84.625000,49.579689,773000
1998-02-19,84.640625,84.703125,83.828125,83.828125,49.112823,804800
1998-02-20,84.078125,84.468750,83.312500,84.281250,49.378277,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,49.360008,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,49.213524,702700
1998-02-25,84.250000,85.156250,84.078125,84.687500,49.616302,687400
1998-02-26,84.609375,85.218750,84.406250,85.156250,49.890896,439800
1998-02-27,85.109375,85.953125,84.890625,85.593750,50.147255,451300
1998-03-02,85.750000,85.859375,85.281250,85.718750,50.220493,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109375,50.449352,596600
1998-03-04,85.625000,85.875000,85.109375,85.531250,50.110573,691700
1998-03-05,84.500000,85.265625,84.218750,84.781250,49.671215,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,50.403530,933100
1998-03-09,85.625000,86.578125,85.593750,85.875000,50.311985,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,50.806305,563700
1998-03-11,86.937500,87.234375,86.734375,87.000000,50.971107,406600
1998-03-12,86.937500,87.062500,86.312500,86.890625,50.907009,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,50.476810,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,51.245766,733000
1998-03-17,87.281250,87.781250,87.078125,87.765625,51.419662,499900
1998-03-18,87.593750,88.015625,87.281250,87.984375,51.547840,410900
1998-03-19,88.000000,88.296875,87.843750,88.234375,51.694328,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,52.234440,754300
1998-03-23,89.187500,89.187500,88.390625,88.484375,51.840797,551600
1998-03-24,88.968750,89.859375,88.921875,89.437500,52.399189,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,52.069656,966200
